Permit Type,Issuance Date
DM,09/03/2008 12:00:00 AM
DM,05/15/2012 12:00:00 AM
DM,05/23/2012 12:00:00 AM
DM,02/02/2012 12:00:00 AM
DM,05/25/2012 12:00:00 AM
DM,03/13/2008 12:00:00 AM
DM,03/18/2008 12:00:00 AM
DM,11/10/2009 12:00:00 AM
DM,11/20/2009 12:00:00 AM
DM,03/06/2012 12:00:00 AM
DM,01/02/2008 12:00:00 AM
DM,10/24/2008 12:00:00 AM
DM,03/16/2009 12:00:00 AM
DM,03/18/2008 12:00:00 AM
DM,10/26/2010 12:00:00 AM
DM,01/22/2010 12:00:00 AM
DM,01/25/2010 12:00:00 AM
DM,02/04/2010 12:00:00 AM
DM,02/12/2009 12:00:00 AM
DM,04/08/2008 12:00:00 AM
DM,08/21/2008 12:00:00 AM
DM,01/15/2008 12:00:00 AM
DM,09/10/2008 12:00:00 AM
DM,08/29/2008 12:00:00 AM
DM,04/11/2011 12:00:00 AM
DM,04/22/2008 12:00:00 AM
DM,06/02/2008 12:00:00 AM
DM,06/19/2008 12:00:00 AM
DM,04/25/2008 12:00:00 AM
DM,03/04/2010 12:00:00 AM
DM,11/05/2009 12:00:00 AM
DM,10/06/2009 12:00:00 AM
DM,02/06/2008 12:00:00 AM
DM,07/14/2008 12:00:00 AM
DM,10/02/2009 12:00:00 AM
DM,06/01/2009 12:00:00 AM
DM,01/27/2009 12:00:00 AM
DM,12/01/2009 12:00:00 AM
DM,08/20/2009 12:00:00 AM
DM,03/25/2009 12:00:00 AM
DM,12/16/2010 12:00:00 AM
DM,05/02/2008 12:00:00 AM
DM,12/19/2011 12:00:00 AM
DM,01/14/2011 12:00:00 AM
DM,02/08/2008 12:00:00 AM
DM,07/28/2011 12:00:00 AM
DM,01/29/2010 12:00:00 AM
DM,05/09/2008 12:00:00 AM
DM,02/03/2010 12:00:00 AM
DM,01/08/2008 12:00:00 AM
DM,12/16/2009 12:00:00 AM
DM,09/16/2008 12:00:00 AM
DM,11/12/2010 12:00:00 AM
DM,05/21/2012 12:00:00 AM
DM,03/23/2011 12:00:00 AM
DM,09/24/2008 12:00:00 AM
DM,08/12/2011 12:00:00 AM
DM,10/21/2008 12:00:00 AM
DM,02/23/2009 12:00:00 AM
DM,09/08/2008 12:00:00 AM
DM,03/30/2009 12:00:00 AM
DM,02/21/2012 12:00:00 AM
DM,04/07/2008 12:00:00 AM
DM,12/18/2008 12:00:00 AM
DM,06/08/2012 12:00:00 AM
DM,11/02/2011 12:00:00 AM
DM,05/06/2011 12:00:00 AM
DM,03/26/2009 12:00:00 AM
DM,08/10/2011 12:00:00 AM
DM,09/10/2008 12:00:00 AM
DM,08/01/2012 12:00:00 AM
DM,08/27/2008 12:00:00 AM
DM,04/25/2011 12:00:00 AM
DM,02/01/2012 12:00:00 AM
DM,03/16/2010 12:00:00 AM
DM,03/30/2012 12:00:00 AM
DM,03/16/2009 12:00:00 AM
DM,07/27/2011 12:00:00 AM
DM,09/29/2009 12:00:00 AM
DM,08/19/2008 12:00:00 AM
DM,08/11/2009 12:00:00 AM
DM,07/25/2011 12:00:00 AM
DM,08/11/2009 12:00:00 AM
DM,02/28/2008 12:00:00 AM
DM,06/21/2010 12:00:00 AM
DM,06/09/2011 12:00:00 AM
DM,08/23/2010 12:00:00 AM
DM,01/11/2008 12:00:00 AM
DM,02/09/2012 12:00:00 AM
DM,09/16/2011 12:00:00 AM
DM,01/15/2008 12:00:00 AM
DM,05/30/2012 12:00:00 AM
DM,02/26/2008 12:00:00 AM
DM,03/16/2012 12:00:00 AM
DM,07/18/2011 12:00:00 AM
DM,01/31/2008 12:00:00 AM
DM,05/08/2008 12:00:00 AM
DM,07/19/2010 12:00:00 AM
DM,06/19/2008 12:00:00 AM
DM,06/29/2010 12:00:00 AM
DM,06/18/2010 12:00:00 AM
DM,03/19/2009 12:00:00 AM
DM,08/22/2008 12:00:00 AM
DM,05/12/2009 12:00:00 AM
DM,04/10/2008 12:00:00 AM
DM,01/19/2011 12:00:00 AM
DM,12/28/2011 12:00:00 AM
DM,01/19/2010 12:00:00 AM
DM,05/22/2008 12:00:00 AM
DM,05/13/2008 12:00:00 AM
DM,06/06/2008 12:00:00 AM
DM,08/25/2008 12:00:00 AM
DM,02/18/2010 12:00:00 AM
DM,02/03/2009 12:00:00 AM
DM,08/11/2008 12:00:00 AM
DM,04/22/2011 12:00:00 AM
DM,10/01/2008 12:00:00 AM
DM,10/28/2008 12:00:00 AM
DM,04/01/2009 12:00:00 AM
DM,04/05/2010 12:00:00 AM
DM,09/24/2009 12:00:00 AM
DM,07/30/2009 12:00:00 AM
DM,12/13/2011 12:00:00 AM
DM,07/29/2011 12:00:00 AM
DM,02/01/2008 12:00:00 AM
DM,10/30/2008 12:00:00 AM
DM,03/27/2012 12:00:00 AM
DM,05/27/2010 12:00:00 AM
DM,06/18/2008 12:00:00 AM
DM,08/23/2010 12:00:00 AM
DM,07/18/2008 12:00:00 AM
DM,09/07/2011 12:00:00 AM
DM,07/12/2012 12:00:00 AM
DM,05/28/2008 12:00:00 AM
DM,05/02/2008 12:00:00 AM
DM,08/11/2008 12:00:00 AM
DM,06/12/2008 12:00:00 AM
DM,09/07/2012 12:00:00 AM
DM,07/12/2010 12:00:00 AM
DM,12/01/2011 12:00:00 AM
DM,06/30/2009 12:00:00 AM
DM,02/17/2012 12:00:00 AM
DM,10/22/2008 12:00:00 AM
DM,08/19/2010 12:00:00 AM
DM,12/18/2008 12:00:00 AM
DM,03/24/2010 12:00:00 AM
DM,09/11/2008 12:00:00 AM
DM,11/19/2008 12:00:00 AM
DM,02/01/2012 12:00:00 AM
DM,08/27/2009 12:00:00 AM
DM,12/09/2010 12:00:00 AM
DM,06/30/2011 12:00:00 AM
DM,04/30/2009 12:00:00 AM
DM,01/15/2009 12:00:00 AM
DM,05/12/2011 12:00:00 AM
DM,05/27/2010 12:00:00 AM
DM,11/29/2010 12:00:00 AM
DM,10/20/2011 12:00:00 AM
DM,08/11/2009 12:00:00 AM
DM,06/23/2008 12:00:00 AM
DM,03/04/2009 12:00:00 AM
DM,09/23/2008 12:00:00 AM
DM,01/27/2012 12:00:00 AM
DM,08/22/2008 12:00:00 AM
DM,01/16/2009 12:00:00 AM
DM,08/20/2012 12:00:00 AM
DM,08/23/2010 12:00:00 AM
DM,03/05/2010 12:00:00 AM
DM,02/04/2008 12:00:00 AM
DM,12/09/2011 12:00:00 AM
DM,12/21/2010 12:00:00 AM
DM,01/09/2009 12:00:00 AM
DM,10/14/2008 12:00:00 AM
DM,02/29/2012 12:00:00 AM
DM,02/18/2011 12:00:00 AM
DM,03/31/2011 12:00:00 AM
DM,02/01/2008 12:00:00 AM
DM,10/28/2009 12:00:00 AM
DM,01/23/2008 12:00:00 AM
DM,02/02/2009 12:00:00 AM
DM,10/20/2008 12:00:00 AM
DM,04/20/2010 12:00:00 AM
DM,12/08/2008 12:00:00 AM
DM,04/15/2008 12:00:00 AM
DM,10/09/2008 12:00:00 AM
DM,08/08/2008 12:00:00 AM
DM,01/26/2012 12:00:00 AM
DM,04/22/2009 12:00:00 AM
DM,08/18/2009 12:00:00 AM
DM,08/31/2011 12:00:00 AM
DM,09/30/2010 12:00:00 AM
DM,02/15/2008 12:00:00 AM
DM,10/15/2009 12:00:00 AM
DM,06/18/2012 12:00:00 AM
DM,03/11/2009 12:00:00 AM
DM,10/28/2010 12:00:00 AM
DM,08/27/2010 12:00:00 AM
DM,06/11/2008 12:00:00 AM
DM,03/24/2008 12:00:00 AM
DM,12/05/2012 12:00:00 AM
DM,01/09/2012 12:00:00 AM
DM,08/06/2008 12:00:00 AM
DM,10/13/2009 12:00:00 AM
DM,08/22/2011 12:00:00 AM
DM,09/01/2009 12:00:00 AM
DM,08/28/2008 12:00:00 AM
DM,08/24/2010 12:00:00 AM
DM,03/01/2012 12:00:00 AM
DM,02/13/2012 12:00:00 AM
DM,02/26/2008 12:00:00 AM
